gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	celltype	condition	supercluster
Cd52	0	2.472850661	0.535	0.116	0	40	microglia	non-homeostasis	
Cd74	0	2.389145033	0.522	0.103	0	40	microglia	non-homeostasis	
Tyrobp	0	1.89889379	0.789	0.374	0	40	microglia	non-homeostasis	
Fcer1g	0	1.62061728	0.808	0.42	0	40	microglia	non-homeostasis	
Cd63	0	2.180352633	0.481	0.143	0	40	microglia	non-homeostasis	
Apoe	0	3.105275319	0.853	0.523	0	40	microglia	non-homeostasis	
Rad51b	0	1.600791259	0.456	0.157	0	40	microglia	non-homeostasis	
H2-Q7	0	2.271767314	0.336	0.062	0	40	microglia	non-homeostasis	
Lgals3bp	0	2.542026855	0.333	0.07	0	40	microglia	non-homeostasis	
Tpt1	4.51E-291	1.759733738	0.436	0.159	2.57E-286	40	microglia	non-homeostasis	
H2-Aa	6.38E-272	1.721802005	0.218	0.05	3.63E-267	40	microglia	non-homeostasis	
Timp2	1.88E-268	1.67644566	0.457	0.182	1.07E-263	40	microglia	non-homeostasis	
H2-Ab1	5.02E-242	1.622125714	0.207	0.049	2.85E-237	40	microglia	non-homeostasis	
Axl	7.23E-232	1.810176009	0.244	0.067	4.11E-227	40	microglia	non-homeostasis	
Ccl12	6.19E-208	1.74306052	0.273	0.086	3.52E-203	40	microglia	non-homeostasis	
Bst2	5.38E-195	1.654942734	0.297	0.103	3.06E-190	40	microglia	non-homeostasis	
Lag3	2.35E-133	1.623769493	0.207	0.071	1.33E-128	40	microglia	non-homeostasis	
Ifi204	2.84E-190	3.05922721	0.711	0.123	1.62E-185	41	microglia	non-homeostasis	
Mx1	3.09E-186	3.02604104	0.47	0.053	1.76E-181	41	microglia	non-homeostasis	
Ifit2	1.08E-177	3.231753638	0.345	0.031	6.17E-173	41	microglia	non-homeostasis	
Ccl12	5.05E-166	3.875496173	0.566	0.087	2.87E-161	41	microglia	non-homeostasis	
Ifitm3	5.33E-152	3.290401216	0.422	0.052	3.03E-147	41	microglia	non-homeostasis	
Oas2	2.12E-150	3.38503241	0.378	0.043	1.21E-145	41	microglia	non-homeostasis	
Usp18	3.23E-148	3.062605569	0.45	0.06	1.84E-143	41	microglia	non-homeostasis	
Ifi207	6.97E-144	2.828154476	0.59	0.104	3.97E-139	41	microglia	non-homeostasis	
Ifit3	6.94E-140	3.03985801	0.301	0.029	3.95E-135	41	microglia	non-homeostasis	
Ifi209	5.53E-132	2.958423398	0.422	0.059	3.14E-127	41	microglia	non-homeostasis	
Slfn5	1.72E-129	2.835257285	0.438	0.063	9.79E-125	41	microglia	non-homeostasis	
Lgals3bp	9.38E-116	3.067613796	0.442	0.073	5.34E-111	41	microglia	non-homeostasis	
Ifi213	2.05E-109	2.682018293	0.422	0.068	1.17E-104	41	microglia	non-homeostasis	
Bst2	7.98E-98	2.80659598	0.498	0.105	4.54E-93	41	microglia	non-homeostasis	
Ifi27l2a	3.31E-83	2.674594114	0.257	0.034	1.88E-78	41	microglia	non-homeostasis	
Mx2	3.41E-83	2.977262166	0.297	0.045	1.94E-78	41	microglia	non-homeostasis	
Isg15	9.77E-58	2.739467173	0.217	0.034	5.56E-53	41	microglia	non-homeostasis	
Zbp1	2.65E-55	2.705239411	0.217	0.035	1.51E-50	41	microglia	non-homeostasis	
Phf11d	1.69E-51	2.810310481	0.225	0.04	9.63E-47	41	microglia	non-homeostasis	
Oas1a	7.62E-47	2.696396854	0.205	0.036	4.33E-42	41	microglia	non-homeostasis	
Iigp1	0	4.42228259	0.546	0.045	0	42	microglia	non-homeostasis	
Ifi204	0	3.02592495	0.603	0.121	0	42	microglia	non-homeostasis	
Oasl2	1.43E-263	2.839408172	0.427	0.087	8.12E-259	42	microglia	non-homeostasis	
Gbp4	2.71E-238	3.44307388	0.22	0.027	1.54E-233	42	microglia	non-homeostasis	
Nlrc5	6.10E-228	2.490903609	0.493	0.129	3.47E-223	42	microglia	non-homeostasis	
Stat2	2.55E-163	2.42450364	0.448	0.139	1.45E-158	42	microglia	non-homeostasis	
Gbp5	5.60E-157	3.04605434	0.243	0.046	3.19E-152	42	microglia	non-homeostasis	
Ifi207	4.43E-143	2.347460999	0.371	0.104	2.52E-138	42	microglia	non-homeostasis	
Rad51b	3.60E-135	2.109612424	0.461	0.16	2.05E-130	42	microglia	non-homeostasis	
Ifi206	7.11E-128	2.408936166	0.232	0.048	4.05E-123	42	microglia	non-homeostasis	
Il15ra	1.39E-114	2.473669705	0.352	0.113	7.93E-110	42	microglia	non-homeostasis	
Herc6	4.99E-100	2.27093556	0.312	0.097	2.84E-95	42	microglia	non-homeostasis	
Ifi213	3.12E-93	1.982895885	0.251	0.067	1.78E-88	42	microglia	non-homeostasis	
Irgm1	1.46E-89	2.451211067	0.265	0.08	8.31E-85	42	microglia	non-homeostasis	
Cd274	7.67E-82	2.385262952	0.266	0.084	4.36E-77	42	microglia	non-homeostasis	
Irgm2	1.36E-70	2.146551421	0.325	0.132	7.76E-66	42	microglia	non-homeostasis	
Sgip1	1.01E-68	2.294385095	0.22	0.067	5.72E-64	42	microglia	non-homeostasis	
Gbp7	4.64E-48	1.95149508	0.237	0.094	2.64E-43	42	microglia	non-homeostasis	
Pml	2.48E-46	1.960514236	0.229	0.09	1.41E-41	42	microglia	non-homeostasis	
Parp11	6.28E-38	1.968581021	0.204	0.084	3.57E-33	42	microglia	non-homeostasis	
Ifi204	0	2.152946754	0.66	0.121	0	43	microglia	non-homeostasis	
Oasl2	0	2.315965119	0.619	0.086	0	43	microglia	non-homeostasis	
Ifi213	0	2.567063275	0.588	0.066	0	43	microglia	non-homeostasis	
Ifi207	0	2.157293753	0.609	0.103	0	43	microglia	non-homeostasis	
Cd300lf	0	2.322466476	0.565	0.102	0	43	microglia	non-homeostasis	
Iigp1	0	3.029911127	0.484	0.046	0	43	microglia	non-homeostasis	
Oas2	0	2.970355083	0.468	0.042	0	43	microglia	non-homeostasis	
Cd72	0	2.829131814	0.328	0.036	0	43	microglia	non-homeostasis	
C4b	0	2.864653958	0.302	0.027	0	43	microglia	non-homeostasis	
Ifi211	0	2.810543165	0.247	0.024	0	43	microglia	non-homeostasis	
Oas1a	2.17E-307	2.491934866	0.304	0.035	1.23E-302	43	microglia	non-homeostasis	
Cdh18	5.56E-305	2.805204199	0.21	0.018	3.16E-300	43	microglia	non-homeostasis	
Ifit2	8.50E-288	2.689346228	0.272	0.03	4.83E-283	43	microglia	non-homeostasis	
Morrbid	5.97E-283	2.22718038	0.535	0.106	3.39E-278	43	microglia	non-homeostasis	
Zbp1	4.62E-253	2.14834237	0.275	0.034	2.63E-248	43	microglia	non-homeostasis	
Oasl1	5.95E-243	2.521478229	0.204	0.02	3.38E-238	43	microglia	non-homeostasis	
Prr5l	7.18E-218	2.137282765	0.354	0.061	4.08E-213	43	microglia	non-homeostasis	
Spon1	4.45E-215	2.291113223	0.268	0.038	2.53E-210	43	microglia	non-homeostasis	
Adgb	2.81E-210	2.253696608	0.285	0.043	1.60E-205	43	microglia	non-homeostasis	
Lgals1	2.93E-171	2.155285479	0.211	0.029	1.67E-166	43	microglia	non-homeostasis	
Taco1	0	3.643813438	0.718	0.135	0	44	microglia	non-homeostasis	
Rnf213	0	2.616872756	0.712	0.232	0	44	microglia	non-homeostasis	
Stat2	0	2.700979815	0.569	0.138	0	44	microglia	non-homeostasis	
Iigp1	0	3.118943635	0.362	0.046	0	44	microglia	non-homeostasis	
Oas2	0	3.451017355	0.353	0.042	0	44	microglia	non-homeostasis	
C4b	0	4.243427023	0.324	0.026	0	44	microglia	non-homeostasis	
Cdh18	0	3.91369095	0.2	0.018	0	44	microglia	non-homeostasis	
Rn18s-rs5	0	2.460556907	1	0.987	0	44	microglia	non-homeostasis	
Nlrc5	2.62E-303	2.490533593	0.535	0.128	1.49E-298	44	microglia	non-homeostasis	
Ifi204	4.75E-266	2.384290693	0.498	0.122	2.70E-261	44	microglia	non-homeostasis	
Ifi213	1.16E-259	2.456013628	0.361	0.067	6.58E-255	44	microglia	non-homeostasis	
Gvin3	3.48E-229	2.751363617	0.326	0.062	1.98E-224	44	microglia	non-homeostasis	
H2-Q6	1.33E-206	2.910366549	0.228	0.035	7.59E-202	44	microglia	non-homeostasis	
Spon1	3.51E-187	2.912947298	0.228	0.038	2.00E-182	44	microglia	non-homeostasis	
Mx1	1.42E-179	2.410006719	0.272	0.053	8.10E-175	44	microglia	non-homeostasis	
Xdh	4.03E-178	2.617709605	0.321	0.073	2.29E-173	44	microglia	non-homeostasis	
Slfn5	1.62E-158	2.365168547	0.283	0.063	9.20E-154	44	microglia	non-homeostasis	
Gbp8	3.08E-142	2.648290992	0.223	0.045	1.75E-137	44	microglia	non-homeostasis	
Mthfr	5.92E-125	2.583333259	0.24	0.057	3.37E-120	44	microglia	non-homeostasis	
Prr5l	5.33E-86	2.336237843	0.218	0.061	3.03E-81	44	microglia	non-homeostasis	
Mx1	1.22E-248	3.989420154	0.524	0.053	6.96E-244	45	microglia	non-homeostasis	
Oasl2	9.78E-173	3.101699824	0.576	0.088	5.56E-168	45	microglia	non-homeostasis	
Ifi204	4.54E-169	3.177613933	0.668	0.123	2.58E-164	45	microglia	non-homeostasis	
Rnf213	1.82E-147	3.015274145	0.816	0.234	1.04E-142	45	microglia	non-homeostasis	
Ifi207	6.45E-136	3.142977696	0.564	0.104	3.67E-131	45	microglia	non-homeostasis	
Stat2	2.52E-120	2.942528877	0.616	0.14	1.43E-115	45	microglia	non-homeostasis	
Slfn5	6.50E-115	3.129337057	0.408	0.063	3.70E-110	45	microglia	non-homeostasis	
Sash1	6.39E-110	3.013937498	0.496	0.096	3.63E-105	45	microglia	non-homeostasis	
Myo1e	8.78E-104	2.858305092	0.668	0.189	5.00E-99	45	microglia	non-homeostasis	
Ddx60	1.61E-98	2.876345533	0.592	0.153	9.16E-94	45	microglia	non-homeostasis	
Axl	2.00E-98	3.349032384	0.392	0.068	1.14E-93	45	microglia	non-homeostasis	
Oasl1	2.75E-98	3.442962012	0.212	0.021	1.57E-93	45	microglia	non-homeostasis	
Mx2	2.63E-87	3.490877956	0.3	0.045	1.50E-82	45	microglia	non-homeostasis	
Ifit3	1.59E-83	3.223054787	0.236	0.029	9.02E-79	45	microglia	non-homeostasis	
Oas2	1.82E-77	3.028422473	0.28	0.043	1.04E-72	45	microglia	non-homeostasis	
Xdh	1.31E-75	2.993200666	0.368	0.074	7.45E-71	45	microglia	non-homeostasis	
Ifit2	3.34E-73	3.263067919	0.228	0.031	1.90E-68	45	microglia	non-homeostasis	
Zbp1	4.88E-69	3.223239311	0.236	0.035	2.77E-64	45	microglia	non-homeostasis	
Phf11d	1.30E-43	2.889356159	0.208	0.04	7.42E-39	45	microglia	non-homeostasis	
Mthfr	7.27E-37	2.94419532	0.236	0.057	4.13E-32	45	microglia	non-homeostasis	
Negr1	0	5.181878982	0.72	0.047	0	46	microglia	non-homeostasis	
Ifi213	0	3.513302316	0.576	0.066	0	46	microglia	non-homeostasis	
Oasl2	0	3.294162894	0.595	0.086	0	46	microglia	non-homeostasis	
Ifi204	0	2.895672762	0.629	0.122	0	46	microglia	non-homeostasis	
Spon1	0	3.818251441	0.434	0.037	0	46	microglia	non-homeostasis	
Oas2	0	3.300004414	0.35	0.042	0	46	microglia	non-homeostasis	
Oasl1	0	4.341001856	0.315	0.02	0	46	microglia	non-homeostasis	
Ifi44	0	4.928300373	0.302	0.013	0	46	microglia	non-homeostasis	
Chic1	6.30E-303	3.833650082	0.253	0.024	3.58E-298	46	microglia	non-homeostasis	
Rbfox1	5.65E-207	2.934171982	0.573	0.162	3.21E-202	46	microglia	non-homeostasis	
Vcam1	1.39E-189	3.114826403	0.222	0.028	7.90E-185	46	microglia	non-homeostasis	
Ifi206	1.76E-179	2.574542659	0.293	0.048	1.00E-174	46	microglia	non-homeostasis	
Usp18	9.43E-171	2.676159025	0.323	0.06	5.36E-166	46	microglia	non-homeostasis	
Frmpd4	4.44E-169	3.267341339	0.246	0.037	2.53E-164	46	microglia	non-homeostasis	
Tnfsf13b	4.54E-164	2.709581958	0.37	0.08	2.58E-159	46	microglia	non-homeostasis	
Stk39	1.02E-155	2.583992065	0.254	0.041	5.80E-151	46	microglia	non-homeostasis	
P2ry14	3.62E-148	2.904375036	0.213	0.031	2.06E-143	46	microglia	non-homeostasis	
Ifit3	5.16E-147	2.697932313	0.205	0.029	2.94E-142	46	microglia	non-homeostasis	
Ccl5	3.78E-119	2.613732343	0.203	0.034	2.15E-114	46	microglia	non-homeostasis	
Fbxw17	4.09E-83	2.681554277	0.2	0.043	2.32E-78	46	microglia	non-homeostasis	
Mx1	0	4.001694439	0.753	0.053	0	47	microglia	non-homeostasis	
Ifit2	0	4.088180704	0.57	0.031	0	47	microglia	non-homeostasis	
Mx2	0	3.784665823	0.583	0.045	0	47	microglia	non-homeostasis	
Ifit3	0	4.038211247	0.48	0.029	0	47	microglia	non-homeostasis	
Trim30c	1.95E-272	3.800375261	0.471	0.035	1.11E-267	47	microglia	non-homeostasis	
Usp18	3.16E-250	3.127093779	0.605	0.06	1.80E-245	47	microglia	non-homeostasis	
Ifi204	3.82E-240	3.19650249	0.821	0.122	2.17E-235	47	microglia	non-homeostasis	
Slfn5	8.93E-202	3.009804833	0.561	0.063	5.08E-197	47	microglia	non-homeostasis	
Phf11d	9.04E-202	3.565237363	0.435	0.039	5.14E-197	47	microglia	non-homeostasis	
Ifit1	2.01E-196	3.50874416	0.309	0.021	1.14E-191	47	microglia	non-homeostasis	
Herc6	1.04E-179	2.991569395	0.659	0.097	5.92E-175	47	microglia	non-homeostasis	
Oasl2	6.61E-179	2.998356864	0.628	0.088	3.76E-174	47	microglia	non-homeostasis	
Parp14	1.70E-169	2.869806031	0.901	0.215	9.69E-165	47	microglia	non-homeostasis	
Isg15	3.08E-155	2.980679416	0.359	0.034	1.75E-150	47	microglia	non-homeostasis	
Ccl12	3.48E-146	3.065900174	0.57	0.087	1.98E-141	47	microglia	non-homeostasis	
Trim30b	1.54E-143	2.910986059	0.368	0.038	8.74E-139	47	microglia	non-homeostasis	
Phf11b	4.33E-128	3.077624516	0.35	0.038	2.46E-123	47	microglia	non-homeostasis	
Phf11a	1.08E-122	3.528701054	0.206	0.015	6.13E-118	47	microglia	non-homeostasis	
Slfn9	2.71E-102	3.499341092	0.224	0.02	1.54E-97	47	microglia	non-homeostasis	
Oasl1	1.96E-89	3.128983642	0.215	0.021	1.11E-84	47	microglia	non-homeostasis	
Iigp1	0	3.951413827	0.661	0.047	0	48	microglia	non-homeostasis	
Mx1	0	3.558028169	0.629	0.053	0	48	microglia	non-homeostasis	
Ifit2	0	3.845542988	0.468	0.031	0	48	microglia	non-homeostasis	
Ifi211	0	3.785669994	0.395	0.024	0	48	microglia	non-homeostasis	
Ccl2	0	4.091688173	0.355	0.018	0	48	microglia	non-homeostasis	
Cd36	0	4.390489614	0.323	0.014	0	48	microglia	non-homeostasis	
Oasl1	5.62E-260	3.377884431	0.339	0.021	3.20E-255	48	microglia	non-homeostasis	
Zbp1	1.89E-257	3.189523492	0.44	0.034	1.08E-252	48	microglia	non-homeostasis	
Ifi204	8.47E-246	3.164190294	0.798	0.122	4.82E-241	48	microglia	non-homeostasis	
Oasl2	1.33E-233	2.839733897	0.677	0.087	7.55E-229	48	microglia	non-homeostasis	
Ifi207	4.00E-217	2.858803706	0.714	0.104	2.28E-212	48	microglia	non-homeostasis	
Cd72	6.87E-200	3.302064572	0.399	0.036	3.91E-195	48	microglia	non-homeostasis	
Oas2	1.53E-186	2.933097262	0.423	0.043	8.68E-182	48	microglia	non-homeostasis	
Gbp4	4.51E-178	3.149306475	0.327	0.027	2.56E-173	48	microglia	non-homeostasis	
Phf11a	1.46E-176	3.454028035	0.234	0.015	8.30E-172	48	microglia	non-homeostasis	
Prr5l	1.61E-164	2.864651043	0.484	0.061	9.17E-160	48	microglia	non-homeostasis	
Mx2	2.72E-132	2.933692711	0.371	0.045	1.55E-127	48	microglia	non-homeostasis	
Ifit1	7.96E-119	2.789413355	0.234	0.021	4.53E-114	48	microglia	non-homeostasis	
Phf11d	6.52E-116	2.804007193	0.327	0.039	3.71E-111	48	microglia	non-homeostasis	
C4b	7.67E-106	2.799920489	0.258	0.027	4.36E-101	48	microglia	non-homeostasis	
Mx1	0	5.275774401	0.861	0.052	0	49	microglia	non-homeostasis	
Ifi204	0	4.103769777	0.91	0.122	0	49	microglia	non-homeostasis	
Usp18	0	4.174227255	0.729	0.059	0	49	microglia	non-homeostasis	
Ifit2	0	5.136951776	0.649	0.03	0	49	microglia	non-homeostasis	
Mx2	0	4.761218329	0.661	0.044	0	49	microglia	non-homeostasis	
Ifit3	0	4.955998995	0.637	0.028	0	49	microglia	non-homeostasis	
Ccl12	0	4.137127813	0.649	0.087	0	49	microglia	non-homeostasis	
Cxcl10	0	6.405860619	0.546	0.017	0	49	microglia	non-homeostasis	
Irf7	0	4.162623895	0.524	0.034	0	49	microglia	non-homeostasis	
Ifit1	0	4.909448164	0.505	0.02	0	49	microglia	non-homeostasis	
Isg15	0	4.080344242	0.512	0.033	0	49	microglia	non-homeostasis	
Rsad2	0	5.381328116	0.488	0.018	0	49	microglia	non-homeostasis	
Oasl1	0	4.831504074	0.459	0.02	0	49	microglia	non-homeostasis	
Phf11d	0	4.054483594	0.454	0.039	0	49	microglia	non-homeostasis	
Ifi211	0	4.53254208	0.429	0.024	0	49	microglia	non-homeostasis	
Ccl2	0	4.367369559	0.312	0.018	0	49	microglia	non-homeostasis	
Cmpk2	0	5.171578667	0.276	0.008	0	49	microglia	non-homeostasis	
Phf11a	0	4.381988096	0.263	0.014	0	49	microglia	non-homeostasis	
Ifit3b	0	5.05110381	0.254	0.008	0	49	microglia	non-homeostasis	
Ifi208	0	4.433015733	0.251	0.01	0	49	microglia	non-homeostasis	
Hells	0	4.477379029	0.494	0.021	0	50	microglia	non-homeostasis	
Diaph3	0	4.405947389	0.477	0.024	0	50	microglia	non-homeostasis	
Brip1	0	4.660392515	0.445	0.016	0	50	microglia	non-homeostasis	
Dtl	0	5.13135005	0.403	0.009	0	50	microglia	non-homeostasis	
Clspn	0	4.971192786	0.349	0.011	0	50	microglia	non-homeostasis	
Brca1	0	4.887177873	0.319	0.009	0	50	microglia	non-homeostasis	
Knl1	0	4.70620904	0.305	0.01	0	50	microglia	non-homeostasis	
Mki67	0	4.504450592	0.297	0.012	0	50	microglia	non-homeostasis	
Cenph	0	4.89118348	0.273	0.008	0	50	microglia	non-homeostasis	
Chaf1a	0	4.53605467	0.246	0.008	0	50	microglia	non-homeostasis	
Pole	0	4.99398956	0.243	0.007	0	50	microglia	non-homeostasis	
Cspg4	0	5.325426912	0.241	0.005	0	50	microglia	non-homeostasis	
Neil3	0	4.692207612	0.238	0.007	0	50	microglia	non-homeostasis	
Uhrf1	0	5.748467426	0.236	0.005	0	50	microglia	non-homeostasis	
E2f1	0	4.364946999	0.241	0.011	0	50	microglia	non-homeostasis	
Mcm10	0	5.857228795	0.231	0.004	0	50	microglia	non-homeostasis	
Rad54b	0	5.199232314	0.219	0.006	0	50	microglia	non-homeostasis	
Stil	0	5.182432955	0.216	0.005	0	50	microglia	non-homeostasis	
Kif4	0	5.06929268	0.216	0.006	0	50	microglia	non-homeostasis	
Rad54l	0	4.509433123	0.209	0.008	0	50	microglia	non-homeostasis	
Brip1	0	5.963262435	0.54	0.016	0	51	microglia	non-homeostasis	
Top2a	0	5.844129115	0.534	0.015	0	51	microglia	non-homeostasis	
Diaph3	0	5.022583648	0.472	0.025	0	51	microglia	non-homeostasis	
Kif15	0	5.351106198	0.395	0.019	0	51	microglia	non-homeostasis	
Knl1	0	5.775113257	0.336	0.01	0	51	microglia	non-homeostasis	
Dtl	0	5.798812758	0.33	0.01	0	51	microglia	non-homeostasis	
Kntc1	0	5.102373711	0.31	0.016	0	51	microglia	non-homeostasis	
Neil3	0	6.024147337	0.277	0.007	0	51	microglia	non-homeostasis	
Rad51ap1	0	5.653844074	0.277	0.009	0	51	microglia	non-homeostasis	
Bard1	0	5.130175106	0.254	0.014	0	51	microglia	non-homeostasis	
Brca1	0	5.454887515	0.248	0.009	0	51	microglia	non-homeostasis	
Kif4	0	6.180186254	0.245	0.006	0	51	microglia	non-homeostasis	
Clspn	0	5.120965482	0.239	0.011	0	51	microglia	non-homeostasis	
Efcab11	0	5.146744793	0.236	0.011	0	51	microglia	non-homeostasis	
Zwilch	0	5.222454229	0.227	0.01	0	51	microglia	non-homeostasis	
Cenph	0	5.275138653	0.204	0.008	0	51	microglia	non-homeostasis	
Hells	7.50E-297	4.508677412	0.316	0.022	4.27E-292	51	microglia	non-homeostasis	
Wdhd1	6.94E-211	4.411613543	0.265	0.022	3.95E-206	51	microglia	non-homeostasis	
Timeless	4.84E-200	4.60817851	0.201	0.013	2.75E-195	51	microglia	non-homeostasis	
Rad51	8.92E-199	4.528087803	0.201	0.013	5.08E-194	51	microglia	non-homeostasis	
Top2a	0	6.14524301	0.802	0.014	0	52	microglia	non-homeostasis	
Knl1	0	6.200229029	0.601	0.009	0	52	microglia	non-homeostasis	
Neil3	0	6.838922105	0.524	0.006	0	52	microglia	non-homeostasis	
Brca1	0	5.983244468	0.469	0.009	0	52	microglia	non-homeostasis	
Rad51ap1	0	6.048915101	0.462	0.008	0	52	microglia	non-homeostasis	
Esco2	0	7.020405451	0.441	0.004	0	52	microglia	non-homeostasis	
Kif4	0	6.703891544	0.434	0.005	0	52	microglia	non-homeostasis	
Nusap1	0	6.063437068	0.41	0.007	0	52	microglia	non-homeostasis	
Ndc80	0	5.95718839	0.375	0.008	0	52	microglia	non-homeostasis	
Cdca2	0	6.598305291	0.37	0.005	0	52	microglia	non-homeostasis	
Kif11	0	6.0006442	0.354	0.006	0	52	microglia	non-homeostasis	
Stil	0	6.472199014	0.342	0.005	0	52	microglia	non-homeostasis	
Shcbp1	0	6.291071996	0.316	0.005	0	52	microglia	non-homeostasis	
Ckap2l	0	6.051551569	0.297	0.006	0	52	microglia	non-homeostasis	
Ttk	0	6.33397337	0.271	0.004	0	52	microglia	non-homeostasis	
Tcf19	0	6.069984907	0.245	0.004	0	52	microglia	non-homeostasis	
E2f8	0	6.279330577	0.241	0.003	0	52	microglia	non-homeostasis	
E2f7	0	6.547504444	0.236	0.003	0	52	microglia	non-homeostasis	
Bub1	0	6.224842328	0.236	0.004	0	52	microglia	non-homeostasis	
Aurkb	0	6.033499572	0.21	0.004	0	52	microglia	non-homeostasis	
Top2a	0	5.742185513	0.88	0.015	0	53	microglia	non-homeostasis	
Knl1	0	5.766213283	0.727	0.009	0	53	microglia	non-homeostasis	
Neil3	0	6.126432211	0.649	0.006	0	53	microglia	non-homeostasis	
Brca1	0	5.626401095	0.601	0.009	0	53	microglia	non-homeostasis	
Kif11	0	5.99285903	0.516	0.006	0	53	microglia	non-homeostasis	
Kif4	0	5.791620817	0.494	0.005	0	53	microglia	non-homeostasis	
Cdca2	0	5.815035604	0.474	0.005	0	53	microglia	non-homeostasis	
Rad54b	0	5.685147706	0.468	0.005	0	53	microglia	non-homeostasis	
Stil	0	5.866777103	0.461	0.005	0	53	microglia	non-homeostasis	
Tpx2	0	5.67165194	0.432	0.006	0	53	microglia	non-homeostasis	
Esco2	0	5.799904135	0.393	0.004	0	53	microglia	non-homeostasis	
E2f7	0	6.337124471	0.367	0.003	0	53	microglia	non-homeostasis	
Mcm10	0	5.91156905	0.351	0.004	0	53	microglia	non-homeostasis	
Bub1	0	6.080600264	0.344	0.004	0	53	microglia	non-homeostasis	
Ttk	0	5.70521605	0.344	0.004	0	53	microglia	non-homeostasis	
E2f8	0	5.773448889	0.328	0.003	0	53	microglia	non-homeostasis	
Hrob	0	6.514778301	0.292	0.002	0	53	microglia	non-homeostasis	
Melk	0	6.190097736	0.282	0.003	0	53	microglia	non-homeostasis	
Eme1	0	5.847913185	0.231	0.002	0	53	microglia	non-homeostasis	
Kif14	0	5.886200707	0.201	0.002	0	53	microglia	non-homeostasis	
Top2a	0	6.768326347	0.941	0.015	0	54	microglia	non-homeostasis	
Knl1	0	6.965603972	0.9	0.01	0	54	microglia	non-homeostasis	
Kif4	0	7.265693084	0.795	0.005	0	54	microglia	non-homeostasis	
Nusap1	0	6.795534526	0.785	0.007	0	54	microglia	non-homeostasis	
Neil3	0	6.824862787	0.772	0.006	0	54	microglia	non-homeostasis	
Kif11	0	7.060129026	0.772	0.006	0	54	microglia	non-homeostasis	
Esco2	0	7.114229536	0.689	0.004	0	54	microglia	non-homeostasis	
Kif23	0	6.766284022	0.635	0.005	0	54	microglia	non-homeostasis	
Hmmr	0	7.009896605	0.525	0.003	0	54	microglia	non-homeostasis	
Bub1	0	6.742366046	0.521	0.004	0	54	microglia	non-homeostasis	
Kifc1	0	6.752220948	0.516	0.004	0	54	microglia	non-homeostasis	
Kif14	0	7.124454768	0.411	0.002	0	54	microglia	non-homeostasis	
Depdc1b	0	6.780407256	0.402	0.002	0	54	microglia	non-homeostasis	
Kif18b	0	7.331040107	0.388	0.002	0	54	microglia	non-homeostasis	
Spag5	0	7.006773295	0.384	0.002	0	54	microglia	non-homeostasis	
Aspm	0	7.148364071	0.342	0.002	0	54	microglia	non-homeostasis	
Pbk	0	7.076792028	0.333	0.002	0	54	microglia	non-homeostasis	
Ankle1	0	7.829103316	0.32	0.001	0	54	microglia	non-homeostasis	
Depdc1a	0	6.944357459	0.311	0.002	0	54	microglia	non-homeostasis	
Troap	0	7.121568204	0.237	0.001	0	54	microglia	non-homeostasis	
Mrc1	0	5.986762112	0.997	0.039	0	55	CAM	homeostasis	
F13a1	0	5.646280741	0.999	0.043	0	55	CAM	homeostasis	
Dab2	0	5.082152778	0.988	0.091	0	55	CAM	homeostasis	
Itsn1	0	4.92841633	0.946	0.074	0	55	CAM	homeostasis	
Cd163	0	6.185597805	0.741	0.011	0	55	CAM	homeostasis	
Ptprk	0	5.477182118	0.605	0.018	0	55	CAM	homeostasis	
Egfr	0	5.869348234	0.495	0.01	0	55	CAM	homeostasis	
Clec10a	0	5.67120383	0.415	0.006	0	55	CAM	homeostasis	
Pf4	0	5.195182236	0.389	0.008	0	55	CAM	homeostasis	
Lyve1	0	6.17237906	0.384	0.005	0	55	CAM	homeostasis	
Cbr2	0	5.74318547	0.363	0.005	0	55	CAM	homeostasis	
Ifi202b	0	6.631299848	0.324	0.002	0	55	CAM	homeostasis	
Vsig4	0	6.592890384	0.324	0.003	0	55	CAM	homeostasis	
Rgs18	0	5.390146601	0.266	0.004	0	55	CAM	homeostasis	
Hsf3	0	6.364217228	0.263	0.003	0	55	CAM	homeostasis	
Cd209f	0	5.677048869	0.259	0.003	0	55	CAM	homeostasis	
Serpinb8	0	5.447246454	0.241	0.004	0	55	CAM	homeostasis	
Cd209g	0	6.392812152	0.234	0.002	0	55	CAM	homeostasis	
Dpyd	0	5.207687322	0.216	0.008	0	55	CAM	homeostasis	
Hormad2	0	5.01933587	0.205	0.005	0	55	CAM	homeostasis	
Mrc1	0	5.676448658	1	0.044	0	56	CAM	homeostasis	
F13a1	0	5.148815097	1	0.049	0	56	CAM	homeostasis	
Pf4	0	7.233899077	0.779	0.009	0	56	CAM	homeostasis	
Cd163	0	5.549119043	0.785	0.015	0	56	CAM	homeostasis	
Clec10a	0	6.821541091	0.679	0.008	0	56	CAM	homeostasis	
Lyve1	0	6.787995923	0.582	0.006	0	56	CAM	homeostasis	
Cbr2	0	6.007847091	0.499	0.007	0	56	CAM	homeostasis	
Ednrb	0	5.012588616	0.461	0.015	0	56	CAM	homeostasis	
Clec4n	0	4.95632263	0.413	0.013	0	56	CAM	homeostasis	
Cd209f	0	6.658263917	0.37	0.005	0	56	CAM	homeostasis	
