"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPR34",0,0.428548390488903,0.99,0.898,0,"2","GPR34"
"ABCC5",0,0.427789170311941,0.764,0.333,0,"2","ABCC5"
"FTH1",0,0.427051860171208,1,1,0,"2","FTH1"
"BRI3",0,0.425430288778733,1,0.999,0,"2","BRI3"
"GRN",0,0.425002670226116,1,0.999,0,"2","GRN"
"IGFBP4",0,0.422393169998605,0.691,0.317,0,"2","IGFBP4"
"SLC7A8",0,0.417445109644768,0.777,0.353,0,"2","SLC7A8"
"SDCBP",0,0.416591577939926,0.997,0.978,0,"2","SDCBP"
"PLXND1",0,0.413467697320402,0.734,0.247,0,"2","PLXND1"
"GNS",0,0.412846414198296,0.907,0.654,0,"2","GNS"
"PLIN2",0,0.402938798724699,0.729,0.421,0,"2","PLIN2"
"ATOX1",0,0.398774237895515,0.996,0.988,0,"2","ATOX1"
"ADAM9",0,0.396903126056599,0.932,0.718,0,"2","ADAM9"
"HTRA1",0,0.391927300599307,0.916,0.78,0,"2","HTRA1"
"RNASE6",0,0.390354168850977,0.999,0.996,0,"2","RNASE6"
"LAMP2",0,0.386472794139566,0.98,0.878,0,"2","LAMP2"
"RAB42.1",0,0.386297195543804,0.802,0.511,0,"2","RAB42"
"CTNNB1",0,0.382706763740444,0.973,0.874,0,"2","CTNNB1"
"SRGN",0,0.377589336705395,0.997,0.996,0,"2","SRGN"
"GALC",0,0.376701632815636,0.829,0.488,0,"2","GALC"
"MBD4",0,0.375696366933242,0.956,0.835,0,"2","MBD4"
"USP53",0,0.375591609158122,0.879,0.641,0,"2","USP53"
"GNPDA1",0,0.375561978248002,0.939,0.754,0,"2","GNPDA1"
"ATP6AP1",0,0.372296680703764,0.981,0.899,0,"2","ATP6AP1"
"UBA6",0,0.371310394836366,0.874,0.64,0,"2","UBA6"
"MMP14",0,0.369180145419279,0.975,0.89,0,"2","MMP14"
"RNF13",0,0.368735709666432,0.948,0.814,0,"2","RNF13"
"GCLC",0,0.367526018725034,0.926,0.754,0,"2","GCLC"
"GLUL",0,0.363033844681586,0.821,0.604,0,"2","GLUL"
"M6PR",0,0.362772743134974,0.995,0.979,0,"2","M6PR"
"SLC15A3",0,0.361461941140429,0.904,0.668,0,"2","SLC15A3"
"ABCG1",0,0.360431798498343,0.601,0.153,0,"2","ABCG1"
"RNASE1",0,0.358813702716434,0.167,0.044,0,"2","RNASE1"
"SERPINF1",0,0.358008879549935,0.985,0.928,0,"2","SERPINF1"
"LACC1",0,0.356329265119547,0.997,0.966,0,"2","LACC1"
"SNX6",0,0.355936799577286,0.984,0.922,0,"2","SNX6"
"PLXDC2",0,0.355605121477104,0.998,0.989,0,"2","PLXDC2"
"MFSD1",0,0.355330136862709,0.993,0.956,0,"2","MFSD1"
"ENG",0,0.353648331318118,0.996,0.985,0,"2","ENG"
"ANXA6",0,0.352653613427122,0.882,0.628,0,"2","ANXA6"
"CCR1",0,0.350857188642146,0.921,0.725,0,"2","CCR1"
"SDC2",0,0.349568670031985,0.585,0.213,0,"2","SDC2"
"FCGR2A",0,0.347248616273241,0.936,0.787,0,"2","FCGR2A"
"HEXA",0,0.346060662966758,0.992,0.953,0,"2","HEXA"
"PDE4DIP",0,0.345814559414564,0.706,0.342,0,"2","PDE4DIP"
"PRKAR1A",0,0.343733774006901,0.98,0.923,0,"2","PRKAR1A"
"CMKLR1",0,0.343582235862084,0.949,0.806,0,"2","CMKLR1"
"MARCKS",0,0.343530721416478,1,0.99,0,"2","MARCKS"
"SMYD3",0,0.343017751096669,0.805,0.617,0,"2","SMYD3"
"MMD",0,0.340866275373363,0.868,0.585,0,"2","MMD"
"BEX3",0,0.340788491990188,0.432,0.215,0,"2","BEX3"
"ATP6V1F",0,0.340566428080447,1,0.999,0,"2","ATP6V1F"
"ATP6V0D2",0,0.3401704561197,0.52,0.106,0,"2","ATP6V0D2"
"TNFRSF14",0,0.338808274207141,0.877,0.656,0,"2","TNFRSF14"
"ADA2",0,0.337986727386057,0.899,0.708,0,"2","ADA2"
"HIF1A",0,0.336469821274987,0.949,0.834,0,"2","HIF1A"
"SMPDL3A",0,0.335283685037933,0.547,0.137,0,"2","SMPDL3A"
"SQSTM1",0,0.335133252680771,0.955,0.845,0,"2","SQSTM1"
"NCOA4",0,0.334427096052642,0.986,0.93,0,"2","NCOA4"
"PILRA",0,0.331590099957965,0.975,0.862,0,"2","PILRA"
"SH3PXD2A",0,0.331569169996679,0.789,0.439,0,"2","SH3PXD2A"
"TMEM144",0,0.330731154440355,0.823,0.545,0,"2","TMEM144"
"ZEB2",0,0.330115245785359,0.944,0.821,0,"2","ZEB2"
"TGFBR2",0,0.32940312807423,0.931,0.761,0,"2","TGFBR2"
"DOCK4",0,0.329199947029017,0.965,0.862,0,"2","DOCK4"
"PRNP",0,0.328734827136984,0.849,0.585,0,"2","PRNP"
"SERINC1",0,0.328685290385652,0.951,0.826,0,"2","SERINC1"
"NPC2",0,0.327838691004833,1,1,0,"2","NPC2"
"MERTK",0,0.327240309059793,0.725,0.346,0,"2","MERTK"
"LRP1",0,0.324208750663222,0.902,0.687,0,"2","LRP1"
"PABPC4",0,0.322534783147763,0.963,0.891,0,"2","PABPC4"
"BLVRB",0,0.319854336463037,0.975,0.901,0,"2","BLVRB"
"QKI",0,0.319210096514887,0.996,0.981,0,"2","QKI"
"TMEM251",0,0.318870289298187,0.852,0.627,0,"2","TMEM251"
"GAS7",0,0.318543770382999,0.853,0.587,0,"2","GAS7"
"MGAT1",0,0.316611517260444,0.932,0.79,0,"2","MGAT1"
"ARL6IP1",0,0.315669731178992,0.974,0.876,0,"2","ARL6IP1"
"CREBRF",0,0.313229692378227,0.777,0.541,0,"2","CREBRF"
"C4orf48",0,0.312156217967164,0.993,0.966,0,"2","C4orf48"
"FAM20C",0,0.311820788116581,0.87,0.7,0,"2","FAM20C"
"APLP2",0,0.311077872398474,0.975,0.893,0,"2","APLP2"
"PDK4",0,0.31045743450583,0.575,0.233,0,"2","PDK4"
"ZMAT3",0,0.309978724240778,0.896,0.763,0,"2","ZMAT3"
"ZSCAN16-AS1",0,0.308208560053753,0.824,0.608,0,"2","ZSCAN16-AS1"
"LINC01094",0,0.308105241866993,0.616,0.231,0,"2","LINC01094"
"HSD17B14",0,0.308077503478243,0.851,0.569,0,"2","HSD17B14"
"FOLR2",0,0.306950967849597,0.44,0.143,0,"2","FOLR2"
"HSD17B4",0,0.303658984355335,0.927,0.809,0,"2","HSD17B4"
"AKR1B1",0,0.303469531380946,0.994,0.972,0,"2","AKR1B1"
"RGS1",0,0.303303921243996,0.435,0.192,0,"2","RGS1"
"RAB31",0,0.301598835217116,0.994,0.975,0,"2","RAB31"
"C5AR1",0,0.300999505217659,0.724,0.488,0,"2","C5AR1"
"C1QA",0,0.300066226749597,1,0.999,0,"2","C1QA"
"TLR4",0,0.299194039287319,0.846,0.594,0,"2","TLR4"
"TMEM123",0,0.297099846998455,0.982,0.932,0,"2","TMEM123"
"IQGAP2",0,0.297021500390502,0.891,0.74,0,"2","IQGAP2"
"C6orf62",0,0.295575226031373,0.975,0.926,0,"2","C6orf62"
"IDH1",0,0.295492679511463,0.931,0.784,0,"2","IDH1"
"WWP1",0,0.294646393079626,0.796,0.526,0,"2","WWP1"
"EEPD1",0,0.292517372335577,0.674,0.289,0,"2","EEPD1"
"FCGR1A",0,0.292292278410723,0.918,0.691,0,"2","FCGR1A"
"ATP6AP2",0,0.28840335588823,0.998,0.997,0,"2","ATP6AP2"
"OTOA",0,0.288108819396402,0.413,0.097,0,"2","OTOA"
"SEZ6L2",0,0.287568028431661,0.652,0.305,0,"2","SEZ6L2"
"AKAP6",0,0.287245693992207,0.594,0.189,0,"2","AKAP6"
"GPX4",0,0.286046704063363,1,0.999,0,"2","GPX4"
"SLC40A1",0,0.283916711657242,0.703,0.479,0,"2","SLC40A1"
"KCTD12",0,0.282543442626549,0.998,0.99,0,"2","KCTD12"
"ATP6V1B2",0,0.281475780043954,0.987,0.94,0,"2","ATP6V1B2"
"UBASH3B",0,0.281470042862515,0.735,0.418,0,"2","UBASH3B"
"CDKN1A",0,0.280829971003949,0.821,0.62,0,"2","CDKN1A"
"CLTC",0,0.27983252925457,0.991,0.959,0,"2","CLTC"
"ITGAV",0,0.278741685087891,0.819,0.574,0,"2","ITGAV"
"TNFRSF1B",0,0.278620850481581,0.974,0.922,0,"2","TNFRSF1B"
"PLXNC1",0,0.277270352697857,0.955,0.885,0,"2","PLXNC1"
"TRDN",0,0.276218901381952,0.414,0.066,0,"2","TRDN"
"SLAMF8",0,0.275743568081155,0.748,0.429,0,"2","SLAMF8"
"CLN8",0,0.275013720682684,0.745,0.43,0,"2","CLN8"
"VEGFB",0,0.274645192651067,0.956,0.859,0,"2","VEGFB"
"COL4A3BP",0,0.274558548006593,0.833,0.645,0,"2","COL4A3BP"
"KCNAB2",0,0.274075606380343,0.846,0.628,0,"2","KCNAB2"
"TLR2",0,0.273997324708904,0.902,0.733,0,"2","TLR2"
"GATM",0,0.273957791819488,0.875,0.681,0,"2","GATM"
"GSTO1",0,0.273774035764473,0.977,0.932,0,"2","GSTO1"
"OSBPL1A",0,0.27257348060352,0.81,0.553,0,"2","OSBPL1A"
"TBC1D4",0,0.272563915012449,0.924,0.803,0,"2","TBC1D4"
"VAT1",0,0.271873026898627,0.601,0.285,0,"2","VAT1"
"CD63.1",0,0.271345726965938,1,1,0,"2","CD63"
"FABP3",0,0.269682953754497,0.441,0.091,0,"2","FABP3"
"FNIP2",0,0.269340508858432,0.782,0.566,0,"2","FNIP2"
"HNMT",0,0.269142817766091,0.836,0.591,0,"2","HNMT"
"NAGK",0,0.269128301937033,0.954,0.862,0,"2","NAGK"
"PLEKHB2",0,0.268586196940508,0.973,0.919,0,"2","PLEKHB2"
"TPP1",0,0.267043324949806,0.972,0.915,0,"2","TPP1"
"FCGRT",0,0.267004641378066,1,1,0,"2","FCGRT"
"OSTM1",0,0.266757360117838,0.814,0.567,0,"2","OSTM1"
"RGL1",0,0.266685528662551,0.733,0.441,0,"2","RGL1"
"MYO9B",0,0.266207314676386,0.925,0.797,0,"2","MYO9B"
"CPEB4",0,0.265806064169712,0.822,0.587,0,"2","CPEB4"
"RASSF4",0,0.265493336278603,0.954,0.853,0,"2","RASSF4"
"SAMSN1",0,0.264702877757792,0.979,0.911,0,"2","SAMSN1"
"ITM2B",0,0.260875798989071,1,1,0,"2","ITM2B"
"RENBP",0,0.259936760483192,0.684,0.342,0,"2","RENBP"
"CYFIP1",0,0.259039252982823,0.99,0.966,0,"2","CYFIP1"
"NISCH",0,0.2579870642956,0.893,0.705,0,"2","NISCH"
"ABHD12",0,0.257985542402887,0.941,0.815,0,"2","ABHD12"
"TSPAN4",0,0.257941449243375,0.691,0.378,0,"2","TSPAN4"
"CRYBB1",0,0.257443623394928,0.687,0.434,0,"2","CRYBB1"
"TCEAL9",0,0.256649315564113,0.433,0.142,0,"2","TCEAL9"
"RNASE2",0,0.256192398598725,0.716,0.445,0,"2","RNASE2"
"RNF149",0,0.254174194159712,0.942,0.837,0,"2","RNF149"
"SNX24",0,0.252798608752661,0.703,0.417,0,"2","SNX24"
"ADAM28",0,0.250723387316833,0.934,0.841,0,"2","ADAM28"
"ID3",0,0.250472143216228,0.91,0.702,0,"2","ID3"
"NCEH1",0,0.250220618714421,0.794,0.553,0,"2","NCEH1"
"ADORA3",0,0.249836276939304,0.952,0.862,0,"2","ADORA3"
"TPD52L2",0,0.249490979303949,0.81,0.563,0,"2","TPD52L2"
"NENF",0,0.247196282977973,0.945,0.846,0,"2","NENF"
"WDR26",0,0.244851377191943,0.887,0.738,0,"2","WDR26"
"SERPINB6",0,0.244642900869232,0.949,0.844,0,"2","SERPINB6"
"SLC38A6",0,0.244210379941577,0.562,0.214,0,"2","SLC38A6"
"NUAK1",0,0.243253951632536,0.593,0.305,0,"2","NUAK1"
"UBL3",0,0.243065875296113,0.895,0.756,0,"2","UBL3"
"ANOS1",0,0.242054959276611,0.921,0.815,0,"2","ANOS1"
"FAM45A",0,0.241691615121082,0.721,0.476,0,"2","FAM45A"
"RAB1A",0,0.241325970714541,0.909,0.776,0,"2","RAB1A"
"LHFPL2",0,0.239170741954902,0.72,0.465,0,"2","LHFPL2"
"PEBP1",0,0.239150338974654,0.987,0.971,0,"2","PEBP1"
"SORL1",0,0.236528760106102,0.673,0.436,0,"2","SORL1"
"LGALS3",0,0.235667396095709,0.614,0.374,0,"2","LGALS3"
"SGK1",0,0.235159926707129,0.734,0.515,0,"2","SGK1"
"N4BP2L2",0,0.234284008860973,0.986,0.965,0,"2","N4BP2L2"
"ATP6V0E1",0,0.23379823216579,1,0.999,0,"2","ATP6V0E1"
"SGTB",0,0.233689671697391,0.575,0.284,0,"2","SGTB"
"HEXB",0,0.232631305492383,0.913,0.799,0,"2","HEXB"
"GOLIM4",0,0.231255631442828,0.718,0.481,0,"2","GOLIM4"
"ADI1",0,0.231215717926059,0.954,0.896,0,"2","ADI1"
"RAB13",0,0.231088337381849,0.709,0.445,0,"2","RAB13"
"HAVCR2",0,0.230648847135105,0.938,0.852,0,"2","HAVCR2"
"OAT",0,0.230330718342955,0.811,0.617,0,"2","OAT"
"TP53INP1",0,0.229462369458382,0.673,0.421,0,"2","TP53INP1"
"MT-ND5",0,0.228845958055853,0.998,0.996,0,"2","MT-ND5"
"FNDC3B",0,0.227368799482503,0.658,0.391,0,"2","FNDC3B"
"PLA2G15",0,0.22546082096937,0.729,0.492,0,"2","PLA2G15"
"ATP6V1C1",0,0.224595065122692,0.859,0.697,0,"2","ATP6V1C1"
"CANX",0,0.224478101463137,0.992,0.973,0,"2","CANX"
"CNRIP1",0,0.22434423609462,0.536,0.199,0,"2","CNRIP1"
"KLHDC8B",0,0.223932359392552,0.456,0.134,0,"2","KLHDC8B"
"SDS",0,0.223519104046486,0.532,0.254,0,"2","SDS"
"NOP10",0,0.223311950293253,0.998,0.997,0,"2","NOP10"
"SEC22B",0,0.222761982476021,0.771,0.566,0,"2","SEC22B"
"LAPTM4A",0,0.222388761361599,0.965,0.907,0,"2","LAPTM4A"
"AMDHD2",0,0.221296537915615,0.709,0.451,0,"2","AMDHD2"
"SLC37A2",0,0.2210218089052,0.762,0.526,0,"2","SLC37A2"
"AAK1",0,0.220673754470956,0.948,0.858,0,"2","AAK1"
"KCNE3",0,0.220230419647445,0.79,0.589,0,"2","KCNE3"
"HS3ST1",0,0.220147120461255,0.673,0.444,0,"2","HS3ST1"
"CRTAP",0,0.220001835431066,0.835,0.664,0,"2","CRTAP"
"MNDA",0,0.21944490139633,0.466,0.234,0,"2","MNDA"
"KCTD7",0,0.218713666982311,0.772,0.571,0,"2","KCTD7"
"GGA1",0,0.217789324315282,0.756,0.547,0,"2","GGA1"
"ATP6V1G1",0,0.217015613647283,0.999,0.998,0,"2","ATP6V1G1"
"CALM3",0,0.216979966964388,0.973,0.918,0,"2","CALM3"
"HOMER3",0,0.216713958146049,0.555,0.246,0,"2","HOMER3"
"NINJ1",0,0.216513011040473,0.998,0.979,0,"2","NINJ1"
"TPST2",0,0.216334219472879,0.935,0.849,0,"2","TPST2"
"SNX27",0,0.215918012113616,0.849,0.68,0,"2","SNX27"
"AP2A2",0,0.215668049151427,0.773,0.559,0,"2","AP2A2"
"CSTB",0,0.21537128457504,0.999,0.999,0,"2","CSTB"
"SLC36A1",0,0.215184931231398,0.559,0.274,0,"2","SLC36A1"
"SLC11A2",0,0.214897379915598,0.782,0.577,0,"2","SLC11A2"
"MITF",0,0.214501032838201,0.56,0.27,0,"2","MITF"
"ZFAND5",0,0.214190906470089,0.864,0.733,0,"2","ZFAND5"
"WSB1",0,0.213643422925652,0.969,0.914,0,"2","WSB1"
"MYO5A",0,0.212980234019834,0.826,0.659,0,"2","MYO5A"
"GPR82",0,0.212178460934064,0.887,0.778,0,"2","GPR82"
"PECAM1",0,0.211844992325702,0.872,0.734,0,"2","PECAM1"
"KLHL24",0,0.210729435669511,0.662,0.431,0,"2","KLHL24"
"SUCNR1",0,0.210281112013523,0.43,0.165,0,"2","SUCNR1"
"ISCU",0,0.209240397876166,0.93,0.831,0,"2","ISCU"
"EVI2A",0,0.20802097829152,0.873,0.747,0,"2","EVI2A"
"NFE2L2",0,0.207742143910112,0.911,0.799,0,"2","NFE2L2"
"CD28",0,0.205448992678422,0.373,0.092,0,"2","CD28"
"EIF4A2",0,0.20225584878242,0.93,0.843,0,"2","EIF4A2"
