"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"HMGN2.5",1.4447745658426e-07,-0.225366656036834,0.932,0.958,0.00346702552565248,"7","HMGN2"
"CCL4.5",0,1.80490751784505,0.624,0.135,0,"8","CCL4"
"CCL3.6",0,1.72228307798092,0.754,0.227,0,"8","CCL3"
"SPP1.4",0,1.56491986306282,0.999,0.984,0,"8","SPP1"
"GPNMB.7",0,1.47684476779254,0.685,0.208,0,"8","GPNMB"
"SOD2.2",0,1.3400782017513,0.93,0.687,0,"8","SOD2"
"CCL4L2",0,1.29437483588797,0.403,0.061,0,"8","CCL4L2"
"CXCL8",0,1.20560630301646,0.581,0.136,0,"8","CXCL8"
"LGALS3.5",0,1.19605609604384,0.865,0.398,0,"8","LGALS3"
"CTSD.6",0,1.10001891964288,0.999,0.989,0,"8","CTSD"
"CTSL.5",0,1.09582351395556,0.954,0.695,0,"8","CTSL"
"FABP5.4",0,1.03255773657998,0.987,0.944,0,"8","FABP5"
"APOC1.6",0,1.00779737987026,0.922,0.69,0,"8","APOC1"
"FTH1.6",0,1.00524984565182,1,1,0,"8","FTH1"
"PLA2G7.5",0,1.00106143938946,0.978,0.668,0,"8","PLA2G7"
"C15orf48.1",0,0.991660519844886,0.64,0.184,0,"8","C15orf48"
"CSTB.2",0,0.912707182020285,1,0.999,0,"8","CSTB"
"NEAT1.6",0,0.868387321780448,0.99,0.991,0,"8","NEAT1"
"CTSB.6",0,0.865962664110443,0.998,0.977,0,"8","CTSB"
"SQSTM1.5",0,0.864088049320728,0.983,0.859,0,"8","SQSTM1"
"CCL3L1",0,0.84562350648038,0.419,0.058,0,"8","CCL3L1"
"ASAH1.6",0,0.843628337492966,1,0.956,0,"8","ASAH1"
"TXN.1",0,0.81629091418837,0.997,0.981,0,"8","TXN"
"CD9.5",0,0.730691557897825,0.945,0.795,0,"8","CD9"
"RAB42.7",0,0.728305305398576,0.933,0.544,0,"8","RAB42"
"CD83.1",0,0.717858115132495,0.727,0.208,0,"8","CD83"
"GM2A.5",0,0.67988128279194,0.997,0.943,0,"8","GM2A"
"MGST3.1",0,0.629917862874684,0.999,0.988,0,"8","MGST3"
"INSIG1.2",0,0.623631824473679,0.831,0.478,0,"8","INSIG1"
"DBI.3",0,0.619089157104174,0.998,0.996,0,"8","DBI"
"TREM2.6",0,0.608650227609308,0.993,0.862,0,"8","TREM2"
"CD68.5",0,0.57800312240286,0.996,0.922,0,"8","CD68"
"CD63.6",0,0.577944564582654,1,1,0,"8","CD63"
"SCD.3",0,0.574172478233684,0.958,0.792,0,"8","SCD"
"SDS.3",0,0.573780893095865,0.704,0.284,0,"8","SDS"
"ATP6V1F.4",0,0.572405539964144,1,0.999,0,"8","ATP6V1F"
"SAT1.5",0,0.567397205250096,1,1,0,"8","SAT1"
"LGMN.4",0,0.557494846224797,0.802,0.547,0,"8","LGMN"
"SGK1.1",0,0.549128528799469,0.871,0.539,0,"8","SGK1"
"UGCG",0,0.545089704119327,0.889,0.639,0,"8","UGCG"
"MALAT1.3",0,0.541343573545737,0.999,0.999,0,"8","MALAT1"
"TALDO1",0,0.501644776464363,0.993,0.978,0,"8","TALDO1"
"TXNRD1",0,0.499184186862815,0.925,0.781,0,"8","TXNRD1"
"MAFB.4",0,0.498935820773891,0.975,0.819,0,"8","MAFB"
"CTSZ.3",0,0.498724964503667,0.999,0.997,0,"8","CTSZ"
"GSTO1.3",0,0.490333524793229,0.99,0.938,0,"8","GSTO1"
"NFE2L2.2",0,0.490161051544617,0.955,0.812,0,"8","NFE2L2"
"TMEM251.3",0,0.488088569642117,0.936,0.654,0,"8","TMEM251"
"PDE4DIP.3",0,0.485173683903675,0.738,0.388,0,"8","PDE4DIP"
"FNIP2.2",0,0.483613034567563,0.865,0.591,0,"8","FNIP2"
"SDCBP.4",0,0.475838205105116,0.997,0.981,0,"8","SDCBP"
"LIMS1.1",0,0.469012277902861,0.999,0.99,0,"8","LIMS1"
"PSAP.4",0,0.453143321362972,0.999,1,0,"8","PSAP"
"HSD17B14.4",0,0.448000149814731,0.939,0.603,0,"8","HSD17B14"
"CYSTM1",0,0.447309445283115,0.844,0.525,0,"8","CYSTM1"
"CYP27A1",0,0.446968243727964,0.377,0.057,0,"8","CYP27A1"
"ATP6V1G1.2",0,0.444617940742323,0.999,0.998,0,"8","ATP6V1G1"
"GLA",0,0.443520090761786,0.802,0.571,0,"8","GLA"
"SLC15A3.4",0,0.437733303170836,0.933,0.698,0,"8","SLC15A3"
"NPL.5",0,0.437605926238055,0.927,0.627,0,"8","NPL"
"MPP1.4",0,0.426181852018899,0.872,0.612,0,"8","MPP1"
"TFRC",0,0.422981909192621,0.739,0.51,0,"8","TFRC"
"GNB4.3",0,0.42019654452459,0.939,0.75,0,"8","GNB4"
"CTSA.5",0,0.417239758636641,0.986,0.85,0,"8","CTSA"
"BCL2A1",0,0.409728528083855,0.658,0.274,0,"8","BCL2A1"
"VAT1.1",0,0.404256468986173,0.754,0.321,0,"8","VAT1"
"BRI3.5",0,0.401228905923907,0.999,0.999,0,"8","BRI3"
"TNFRSF14.3",0,0.399792480407894,0.931,0.683,0,"8","TNFRSF14"
"PRDX1.1",0,0.398596831065459,1,0.999,0,"8","PRDX1"
"GRINA",0,0.388556580934403,0.946,0.796,0,"8","GRINA"
"HM13.1",0,0.377651549265356,0.994,0.974,0,"8","HM13"
"ATP6V0D2.1",0,0.368444919623999,0.582,0.158,0,"8","ATP6V0D2"
"ATP6AP1.5",0,0.366081404039842,0.988,0.91,0,"8","ATP6AP1"
"GSR",0,0.363270322851328,0.876,0.658,0,"8","GSR"
"RNF13.4",0,0.363031233569991,0.956,0.831,0,"8","RNF13"
"NQO1",0,0.355625493974036,0.48,0.131,0,"8","NQO1"
"ATP6V1D",0,0.354154921699847,0.918,0.727,0,"8","ATP6V1D"
"MYO1E",0,0.339973520691171,0.709,0.323,0,"8","MYO1E"
"NEU1",0,0.339116536187566,0.907,0.667,0,"8","NEU1"
"ARID5B",0,0.317077530177286,0.591,0.223,0,"8","ARID5B"
"HTRA4",0,0.288531939666687,0.357,0.035,0,"8","HTRA4"
"KLHL6",0,0.269943006368159,0.572,0.228,0,"8","KLHL6"
"LINC01857",0,0.234259870100657,0.399,0.059,0,"8","LINC01857"
"RPL28",0,-0.203639981210052,1,1,0,"8","RPL28"
"RPS13",0,-0.207615568677649,1,1,0,"8","RPS13"
"RPS23",0,-0.207861145934186,1,1,0,"8","RPS23"
"RPL13",0,-0.208081973242724,1,1,0,"8","RPL13"
"RPS3A",0,-0.208609252468481,1,1,0,"8","RPS3A"
"RPL32",0,-0.213284288373381,1,1,0,"8","RPL32"
"RPS3.1",0,-0.213366072737619,1,1,0,"8","RPS3"
"RPL35A",0,-0.218063854147192,1,1,0,"8","RPL35A"
"RPL36",0,-0.221840590995216,0.999,1,0,"8","RPL36"
"RPS25",0,-0.231886808886218,0.999,1,0,"8","RPS25"
"RPS5.1",0,-0.235594364878889,0.999,1,0,"8","RPS5"
"RPL34",0,-0.236902036383642,1,1,0,"8","RPL34"
"RPL21",0,-0.237614030366663,1,1,0,"8","RPL21"
"RPL23A.2",0,-0.239740451370454,0.999,1,0,"8","RPL23A"
"RPL7A.2",0,-0.239981319606135,1,1,0,"8","RPL7A"
"RPL6.2",0,-0.2400123492232,1,1,0,"8","RPL6"
"RPS2.2",0,-0.244028484257968,1,1,0,"8","RPS2"
"RPL30",0,-0.244932448177945,0.999,1,0,"8","RPL30"
"RPS15",0,-0.250461660384607,0.999,1,0,"8","RPS15"
"RPL37A",0,-0.252694540399482,1,1,0,"8","RPL37A"
"RPL37",0,-0.255120074922807,1,1,0,"8","RPL37"
"RPLP2",0,-0.256619064618731,1,1,0,"8","RPLP2"
"RPL41",0,-0.256880562455945,1,1,0,"8","RPL41"
"RPS27",0,-0.25973398393573,1,1,0,"8","RPS27"
"RPL27",0,-0.262941880449826,0.999,1,0,"8","RPL27"
"RPS14.2",0,-0.267232133464026,1,1,0,"8","RPS14"
"RPS15A",0,-0.269632985976698,0.999,1,0,"8","RPS15A"
"RPS8",0,-0.273488767454742,1,1,0,"8","RPS8"
"RPL18A.2",0,-0.278149726687882,1,1,0,"8","RPL18A"
"RPS18.2",0,-0.282837128634881,1,1,0,"8","RPS18"
"RPS19.2",0,-0.306183347370476,1,1,0,"8","RPS19"
"RPS21.1",0,-0.317910660908899,1,1,0,"8","RPS21"
"RPL35.2",0,-0.331858243170336,1,1,0,"8","RPL35"
"CYBA",0,-0.335309500209236,1,1,0,"8","CYBA"
"RPSA.2",0,-0.339723599832039,0.999,1,0,"8","RPSA"
"ARHGDIB.1",0,-0.371472791464802,0.966,0.997,0,"8","ARHGDIB"
"ACTG1.3",0,-0.40109751081083,0.994,1,0,"8","ACTG1"
"COTL1.4",0,-0.444243047052983,0.992,0.999,0,"8","COTL1"
"VSIR",0,-0.464743052724204,0.509,0.857,0,"8","VSIR"
"PRELID1.3",0,-0.474147819343398,0.969,0.994,0,"8","PRELID1"
"TMSB10.2",0,-0.479619825687576,1,1,0,"8","TMSB10"
"GLIPR1.1",0,-0.481298491290084,0.7,0.94,0,"8","GLIPR1"
"PKIB.4",0,-0.487987940750644,0.837,0.957,0,"8","PKIB"
"ITGB7.1",0,-0.493992412982239,0.774,0.955,0,"8","ITGB7"
"LST1.2",0,-0.498600370913298,0.995,1,0,"8","LST1"
"CAMK1.1",0,-0.501873245558102,0.851,0.958,0,"8","CAMK1"
"PYCARD.3",0,-0.515573148613107,0.946,0.997,0,"8","PYCARD"
"CORO1A.2",0,-0.522830160151745,0.963,0.997,0,"8","CORO1A"
"AIF1.1",0,-0.542155084095939,0.999,1,0,"8","AIF1"
"ACTB.4",0,-0.576913419000693,1,1,0,"8","ACTB"
"ALOX5AP.3",0,-0.580035642285314,0.999,1,0,"8","ALOX5AP"
"CX3CR1.3",0,-0.601314919221359,0.505,0.891,0,"8","CX3CR1"
"S100A4.4",0,-0.669200669565999,1,1,0,"8","S100A4"
"YWHAH.4",0,-0.685393779940761,0.932,0.992,0,"8","YWHAH"
"MS4A6A.2",0,-0.726178731196955,0.92,0.997,0,"8","MS4A6A"
"C12orf75.5",0,-0.743221807773595,0.874,0.985,0,"8","C12orf75"
"PLAC8.3",0,-1.06236834268695,0.589,0.901,0,"8","PLAC8"
"RPS6.1",9.73309322307256e-322,-0.208787088104454,1,1,2.33565038074072e-317,"8","RPS6"
"OTOA.1",8.20643037742311e-321,0.330307077875407,0.529,0.134,1.96929709767022e-316,"8","OTOA"
"JAML.4",9.12045182222941e-321,-0.568068419099593,0.482,0.813,2.18863482378039e-316,"8","JAML"
"SLAMF7.1",9.16738805858433e-320,0.401735228628277,0.865,0.594,2.19989811241848e-315,"8","SLAMF7"
"GNAI2",1.39840340398906e-319,-0.34347659150797,0.997,1,3.35574864855256e-315,"8","GNAI2"
"ATP6V1C1.1",1.08919736019578e-318,0.333988914092976,0.905,0.716,2.61374690526181e-314,"8","ATP6V1C1"
"VEGFB.3",5.03563563816899e-316,0.334737178624998,0.984,0.87,1.20840148409141e-311,"8","VEGFB"
"PLD4",2.74885309254561e-312,-0.408322066100286,0.944,0.993,6.59642276618169e-308,"8","PLD4"
"RPS16.1",5.50206795519295e-312,-0.21002878828545,1,1,1.32033124720765e-307,"8","RPS16"
"RPL4.2",6.09497106103828e-309,-0.282563949775146,0.998,0.999,1.46261020551736e-304,"8","RPL4"
"RPL27A.1",1.05207972793221e-305,-0.249402230190066,1,1,2.52467572311894e-301,"8","RPL27A"
"FABP3.1",2.06533027297122e-305,0.328192453495287,0.516,0.134,4.95617305604904e-301,"8","FABP3"
"M6PR.3",1.30464377584485e-304,0.3219116861465,0.997,0.981,3.13075366889489e-300,"8","M6PR"
"RPL24",3.35454293537904e-304,-0.20066004021529,0.999,1,8.04989668202907e-300,"8","RPL24"
"RPS11",3.55079122095038e-304,-0.212018965911881,1,1,8.52083369291464e-300,"8","RPS11"
"LPL",4.13204127894308e-304,0.355993583416119,0.422,0.116,9.91565945707971e-300,"8","LPL"
"HMOX1.5",1.16290208021141e-301,0.603810508409331,0.967,0.891,2.79061612188331e-297,"8","HMOX1"
"RPL8.2",2.25121178307493e-301,-0.214595868230934,1,1,5.40223291584491e-297,"8","RPL8"
"UQCRH",1.36993908733383e-294,-0.239214038370112,0.999,0.999,3.287442827875e-290,"8","UQCRH"
"RTN4",1.67105806807876e-293,0.322124295994797,0.991,0.972,4.01003804596859e-289,"8","RTN4"
"RPS29",3.59244295714224e-293,-0.300639631230102,0.999,1,8.62078536425423e-289,"8","RPS29"
"RPL13A",6.95014282570768e-292,-0.231575150800325,1,1,1.66782577388507e-287,"8","RPL13A"
"PFN1.2",1.50722942027637e-291,-0.315768472237747,0.999,1,3.61689843983719e-287,"8","PFN1"
"GK",2.08774545309072e-288,0.259843715822064,0.522,0.199,5.00996276378179e-284,"8","GK"
"SAMHD1",8.98168091216509e-288,-0.394643548581551,0.95,0.991,2.15533396849226e-283,"8","SAMHD1"
"FTL.6",2.97360837022314e-286,0.397845207634483,1,1,7.13576800602447e-282,"8","FTL"
"GPX4.3",3.18310748798589e-286,0.314820577348125,0.999,0.999,7.63850303891975e-282,"8","GPX4"
"ACP5",1.00399687247379e-285,0.442647522613852,0.546,0.247,2.40929129487535e-281,"8","ACP5"
"ANXA2.1",3.30982655630512e-285,0.455506541637873,0.985,0.921,7.9425907871654e-281,"8","ANXA2"
"CXCL16.2",2.34277351566741e-282,0.341215119430739,0.859,0.651,5.62195360554709e-278,"8","CXCL16"
"RAB20",3.73664046757915e-281,0.254538661815266,0.606,0.257,8.96681613004968e-277,"8","RAB20"
"MSMO1.2",1.06378740242072e-279,0.434935124650938,0.734,0.435,2.55277062958901e-275,"8","MSMO1"
"LIPA.5",2.50719422531865e-279,0.456067401813672,0.995,0.954,6.01651398249716e-275,"8","LIPA"
"HAVCR2.2",3.37986367253726e-279,0.323524488734292,0.954,0.862,8.11065885498767e-275,"8","HAVCR2"
"PAK1.2",2.45031090646926e-276,-0.39641413839872,0.799,0.936,5.88001108225429e-272,"8","PAK1"
"LAMP1.3",3.12257901963697e-276,0.32677155967678,0.947,0.792,7.49325287342284e-272,"8","LAMP1"
"TIMP3",1.60279099959042e-275,0.46878749807256,0.247,0.029,3.84621756171713e-271,"8","TIMP3"
"RPL10A.3",4.78626279578675e-275,-0.260664446970526,0.998,0.999,1.14855948310495e-270,"8","RPL10A"
"AMDHD2.1",9.62601814975932e-275,0.283124479164516,0.806,0.481,2.30995557539774e-270,"8","AMDHD2"
"RPL14.1",1.14267247603164e-274,-0.204157535522024,0.999,1,2.74207114073313e-270,"8","RPL14"
"CLN8.1",1.67876268436596e-272,0.297669982109161,0.772,0.47,4.02852681367299e-268,"8","CLN8"
"ATP6V0B.1",9.59715742434277e-272,0.279558314894908,0.999,0.999,2.30302986711953e-267,"8","ATP6V0B"
"RPL5.2",1.3543487401999e-271,-0.225995003354214,1,1,3.25003067185769e-267,"8","RPL5"
"HMGCS1.2",7.40108022952371e-271,0.475968670767331,0.76,0.464,1.7760372226788e-266,"8","HMGCS1"
"CTNNB1.3",2.38945106317669e-270,0.36190770760145,0.975,0.887,5.73396571630511e-266,"8","CTNNB1"
"RNASET2.3",9.22795179164331e-270,-0.362128515691781,0.963,0.996,2.21443159144065e-265,"8","RNASET2"
"ABCC5.3",5.64515528931361e-269,0.327123488254894,0.728,0.39,1.35466791477659e-264,"8","ABCC5"
"ABHD12.3",5.41129995323282e-268,0.309001699594004,0.959,0.831,1.29854964977728e-263,"8","ABHD12"
"CD74.4",6.78368710107011e-266,-0.739555751626459,0.999,1,1.62788139364379e-261,"8","CD74"
"GABARAPL2",1.33809733476109e-263,0.351614975821404,0.991,0.982,3.21103217422618e-259,"8","GABARAPL2"
"IDI1.2",2.79947874082661e-263,0.434345511906632,0.873,0.674,6.71790913436161e-259,"8","IDI1"
"ITGAX",2.61099301839552e-262,0.285041642500791,0.793,0.512,6.26559994624373e-258,"8","ITGAX"
"ZFYVE16",1.08064754900841e-261,0.300137950363907,0.808,0.618,2.59322992335547e-257,"8","ZFYVE16"
"PHLDA1.2",7.15753626670088e-261,0.468921789969758,0.725,0.454,1.71759397792021e-256,"8","PHLDA1"
"OLR1.1",1.05755432344354e-259,0.38854986984239,0.918,0.744,2.53781310996746e-255,"8","OLR1"
"CD1C.6",5.11386613488716e-259,-0.585516912584,0.292,0.623,1.22717445638887e-254,"8","CD1C"
"CEBPB.2",2.35771679195106e-257,0.438230097601908,0.972,0.925,5.65781298564497e-253,"8","CEBPB"
"SGTB.1",3.12366152118908e-257,0.298758851392687,0.633,0.32,7.49585055239743e-253,"8","SGTB"
"CADM1.1",2.11002105974957e-254,0.315206744639714,0.814,0.542,5.06341753708105e-250,"8","CADM1"
"RASGRP3",4.63985724724036e-254,0.295499565614058,0.944,0.842,1.11342654362027e-249,"8","RASGRP3"
"ZFP36L2",1.02710437510987e-253,-0.433920538828338,0.934,0.99,2.46474236895116e-249,"8","ZFP36L2"
"SLC16A10",1.51373596489328e-252,0.333103609276446,0.324,0.063,3.6325121949544e-248,"8","SLC16A10"
"ATOX1.4",3.30436504326872e-252,0.398809154837204,0.994,0.989,7.92948479433195e-248,"8","ATOX1"
"WARS",1.56704377275581e-251,0.23671564169973,0.641,0.37,3.76043494148212e-247,"8","WARS"
"ANXA1.2",5.21963724943999e-247,-0.367750538131509,0.69,0.862,1.25255635074811e-242,"8","ANXA1"
"P2RY13.2",1.25948317089801e-244,-0.33803483342577,0.262,0.623,3.02238176520395e-240,"8","P2RY13"
"PLEKHO1.3",3.85087342987847e-244,-0.429175117098987,0.842,0.951,9.24094096967936e-240,"8","PLEKHO1"
"SQLE.3",3.85828800447126e-244,0.417079190723537,0.827,0.5,9.25873372432968e-240,"8","SQLE"
"CST7.4",4.05903708423411e-244,0.452752231815861,0.671,0.34,9.74047129103659e-240,"8","CST7"
"EEF1B2.2",1.14815858505257e-243,-0.234517143905115,0.998,1,2.75523615655065e-239,"8","EEF1B2"
"PARM1",1.03564773682047e-242,-0.376918618546901,0.564,0.839,2.48524387404808e-238,"8","PARM1"
"MGAT1.3",1.13465457826245e-242,0.285265982430072,0.931,0.809,2.7228305914564e-238,"8","MGAT1"
"RGS1.4",2.29121609274911e-242,0.593986912194041,0.536,0.22,5.49823125777004e-238,"8","RGS1"
"CD33.2",2.57898452290293e-242,-0.313806275874314,0.463,0.74,6.18878915961015e-238,"8","CD33"
"FAM213A",8.21246151591348e-240,0.299187332675271,0.86,0.625,1.97074438997376e-235,"8","FAM213A"
"RIT1",1.20312403109363e-239,0.267105879602661,0.805,0.571,2.88713673741539e-235,"8","RIT1"
"S100B.2",1.15260487045853e-238,-0.251215604879686,0.986,0.997,2.76590590763934e-234,"8","S100B"
"ELL2",1.16190836964471e-238,0.215552488914509,0.473,0.169,2.78823151463641e-234,"8","ELL2"
"CHI3L1.3",4.07338450515833e-238,0.579192185474032,0.909,0.735,9.77490079702845e-234,"8","CHI3L1"
"FKBP1A",5.15764527069397e-238,-0.280972300841953,0.974,0.992,1.23768013560843e-233,"8","FKBP1A"
"DENND2D",2.25361732000233e-237,0.20068002358582,0.554,0.208,5.40800548280958e-233,"8","DENND2D"
"TMA7",3.74709358366935e-235,-0.230150798903803,0.998,0.999,8.99190047273135e-231,"8","TMA7"
"SPART",1.15043599633245e-234,0.256365470935445,0.829,0.572,2.76070126039898e-230,"8","SPART"
"FCGRT.4",1.54281219694581e-231,-0.288533443738242,0.998,1,3.70228642901086e-227,"8","FCGRT"
"RXRA",6.45546776725016e-231,-0.416945844156004,0.729,0.909,1.54911860010702e-226,"8","RXRA"
"NCOA4.4",4.79383857125631e-230,0.297999030119759,0.98,0.937,1.15037744194438e-225,"8","NCOA4"
"DNASE2.5",5.90116048262485e-230,0.373001932268922,0.972,0.854,1.41610148101549e-225,"8","DNASE2"
"RPL3.1",1.8488270411345e-229,-0.218351764903026,1,1,4.43663025061046e-225,"8","RPL3"
"PARK7.1",3.40858373148124e-229,-0.260622232255761,0.98,0.992,8.17957838043553e-225,"8","PARK7"
"TLR10.3",3.9594081245453e-229,-0.325158331165914,0.303,0.642,9.50139167647135e-225,"8","TLR10"
"FGL2.3",9.08859713516416e-229,-0.482933523822621,0.271,0.606,2.18099065452534e-224,"8","FGL2"
"ME1",1.71370182029744e-228,0.233819707229126,0.503,0.184,4.11237025816777e-224,"8","ME1"
"SNHG12.1",1.57493250706338e-227,0.334107950701095,0.863,0.634,3.7793655372e-223,"8","SNHG12"
"SOAT1",1.7855147475195e-227,0.254279573530058,0.817,0.593,4.28469973962255e-223,"8","SOAT1"
"IFI30",2.36356542787326e-226,0.254734918322232,0.621,0.289,5.67184795726746e-222,"8","IFI30"
"SLC5A3",4.9677695492954e-226,0.294907337475832,0.632,0.45,1.19211565874442e-221,"8","SLC5A3"
"TNFAIP2",7.04328091407024e-226,0.256175560763459,0.726,0.421,1.69017612094944e-221,"8","TNFAIP2"
"ELOC",3.89492818492445e-224,0.3253330480338,0.967,0.923,9.34665916536321e-220,"8","ELOC"
"IER5L.1",6.07125890372719e-224,0.336526486526739,0.851,0.584,1.45691999912741e-219,"8","IER5L"
"PLIN2.3",7.98960395639417e-224,0.412956164999344,0.681,0.462,1.91726526141591e-219,"8","PLIN2"
"HEXB.3",2.62013886743263e-223,0.282869698210113,0.944,0.813,6.28754724017808e-219,"8","HEXB"
"MITF.1",5.89298286572736e-223,0.231448172012739,0.543,0.308,1.41413909828859e-218,"8","MITF"
"GABARAPL1",1.26922683438685e-221,0.242862594058257,0.651,0.354,3.04576363447812e-217,"8","GABARAPL1"
"CCDC85B.1",2.09520640535432e-221,-0.358636289131032,0.761,0.916,5.02786681092877e-217,"8","CCDC85B"
"RRAGD",3.09648106142467e-220,0.258622385498434,0.821,0.556,7.43062560310077e-216,"8","RRAGD"
"COL4A3BP.1",1.19208603502837e-219,0.255879921322582,0.866,0.669,2.86064885825758e-215,"8","COL4A3BP"
"RENBP.2",4.46953855128678e-219,0.238154678617069,0.729,0.384,1.07255516615229e-214,"8","RENBP"
"ATF3",9.02382039585744e-218,0.205371471697226,0.216,0.039,2.16544618039391e-213,"8","ATF3"
"TMEM144.3",1.72265255517133e-217,0.291988238662236,0.843,0.58,4.13384933664464e-213,"8","TMEM144"
"ATP6V1B2.3",1.57229770092356e-216,0.285803401213117,0.984,0.946,3.77304279290626e-212,"8","ATP6V1B2"
"CREG1.5",3.998016222257e-215,0.313598476677513,0.99,0.876,9.59403952855012e-211,"8","CREG1"
"RPN2",5.25634323831309e-215,-0.292444520833007,0.956,0.988,1.26136468689799e-210,"8","RPN2"
"ANXA4",1.13401930729848e-213,0.261288459601495,0.851,0.684,2.72130613172417e-209,"8","ANXA4"
"FAM20C.3",3.04956829242495e-213,0.310891583335918,0.861,0.722,7.31804903133216e-209,"8","FAM20C"
"TGFBR1.5",4.82673106758861e-213,0.290584947110148,0.987,0.93,1.15827065428924e-208,"8","TGFBR1"
"SC5D",8.06115609363887e-212,0.240947941503167,0.692,0.402,1.93443562779052e-207,"8","SC5D"
"AL034397.3.2",1.25966132705613e-211,-0.374596366226809,0.398,0.71,3.0228092865366e-207,"8","AL034397.3"
"HLA-DPA1.6",1.79981846846127e-211,-0.863469176380165,0.963,0.98,4.31902437876651e-207,"8","HLA-DPA1"
"CYBB.2",2.85959452112698e-209,-0.362453616744311,0.925,0.986,6.86216897234842e-205,"8","CYBB"
"GCLM",1.55684354968673e-208,0.224005463411151,0.527,0.322,3.73595746618325e-204,"8","GCLM"
"PSMC4.2",6.46228828536262e-208,-0.411320902935192,0.937,0.971,1.55075531983847e-203,"8","PSMC4"
"RPL38",2.00723256879576e-207,-0.223993056167551,0.999,1,4.81675599533919e-203,"8","RPL38"
"ICAM3.3",1.36942997883902e-206,-0.423652632569347,0.704,0.87,3.28622112021998e-202,"8","ICAM3"
"RPS26.1",8.91250639668754e-206,-0.251957309264502,0.997,0.999,2.13873416001311e-201,"8","RPS26"
"CDS2",1.55097250035807e-205,0.22126728142516,0.711,0.455,3.72186870910925e-201,"8","CDS2"
"FILIP1L.3",1.05999291900885e-204,-0.391203557669221,0.463,0.734,2.54366500774554e-200,"8","FILIP1L"
"ARPC2.1",1.14495045808038e-203,-0.209716459586469,0.999,1,2.74753761425549e-199,"8","ARPC2"
"TCEAL9.1",9.6801681902031e-202,0.29427306515141,0.462,0.178,2.32294996060304e-197,"8","TCEAL9"
"C1QA.6",1.43874366623222e-201,-0.364942593005012,0.998,1,3.45255317585747e-197,"8","C1QA"
"GRN.5",5.39455222493644e-201,0.247800393120395,0.999,0.999,1.294530697418e-196,"8","GRN"
"GADD45B",9.16141731825274e-200,0.220090016467049,0.39,0.129,2.19846531386111e-195,"8","GADD45B"
"NOP10.1",1.75932797045307e-199,0.292798688648881,0.998,0.997,4.22185933069622e-195,"8","NOP10"
"APOE.6",3.12884499168495e-199,0.815135763923854,0.8,0.604,7.50828932654638e-195,"8","APOE"
"SLC11A2.1",1.61999991108995e-198,0.246772491081207,0.829,0.602,3.88751378664255e-194,"8","SLC11A2"
"GAPT.2",3.41369811460236e-198,-0.316703447761226,0.455,0.737,8.19185136561129e-194,"8","GAPT"
"C5AR1.3",3.53157421254572e-198,0.330703596950444,0.735,0.518,8.47471863784597e-194,"8","C5AR1"
"P2RX4",1.28158452160451e-197,0.233347633281478,0.82,0.603,3.07541837649433e-193,"8","P2RX4"
"DUSP4",4.43568818882837e-197,0.263140400516655,0.669,0.394,1.06443209467314e-192,"8","DUSP4"
"IL4I1",1.41363548496625e-196,0.292561447002596,0.519,0.196,3.3923010732735e-192,"8","IL4I1"
"LITAF.1",2.01420709441868e-196,0.296939973172312,0.969,0.925,4.83349276447651e-192,"8","LITAF"
"CSF1R",2.98812679778116e-196,-0.368218221717293,0.937,0.989,7.17060787663544e-192,"8","CSF1R"
"TUBA1A.1",3.92109672947264e-196,0.476446125647391,0.965,0.905,9.4094558217155e-192,"8","TUBA1A"
"FADS1.4",3.57031465818019e-195,0.373606556701974,0.857,0.639,8.56768408523501e-191,"8","FADS1"
"IGF2R.1",1.59961950040432e-194,0.221910936488389,0.764,0.508,3.83860691512025e-190,"8","IGF2R"
"CYSLTR1",3.08808793863741e-194,-0.28933149870582,0.556,0.802,7.41048462634819e-190,"8","CYSLTR1"
"RALA.1",3.37937688616799e-194,0.280295687289831,0.8,0.614,8.10949071373732e-190,"8","RALA"
"PSME2.3",3.50380223951511e-194,-0.301995705297412,0.769,0.881,8.40807423416441e-190,"8","PSME2"
"RFLNB.2",4.903302094353e-194,-0.413851253976054,0.552,0.801,1.17664540358189e-189,"8","RFLNB"
"SLC17A5",4.78899515658606e-193,0.217648376909224,0.638,0.352,1.14921516772596e-188,"8","SLC17A5"
"TTYH3.4",7.3390505870956e-193,0.266310719081169,0.96,0.854,1.76115196938533e-188,"8","TTYH3"
"PPA1.6",8.05600417252642e-193,-0.361593441020793,0.668,0.838,1.93319932128116e-188,"8","PPA1"
"SERPINI1",1.35935679149356e-192,0.206088911928144,0.332,0.085,3.2620484925471e-188,"8","SERPINI1"
"GNA13",1.65419999215963e-192,0.231837940735921,0.729,0.555,3.96958372118548e-188,"8","GNA13"
"IQGAP2.2",1.26726980802812e-189,0.263690421498258,0.913,0.758,3.04106735832509e-185,"8","IQGAP2"
"ITGAM.1",1.35007236830001e-189,-0.259219930877888,0.346,0.632,3.23976866220954e-185,"8","ITGAM"
"ASGR2.3",3.51885086834976e-189,-0.411321289039475,0.794,0.924,8.44418642877893e-185,"8","ASGR2"
"CAP1",6.00730788110063e-189,-0.284349794912086,0.996,0.999,1.44157367222772e-184,"8","CAP1"
